YearMonth,StockCode,Description,SalesVolume,TotalSales
2010-12,23173,"REGENCY TEAPOT ROSES ",14,139.30
2010-12,23174,"REGENCY SUGAR BOWL GREEN",8,33.20
2010-12,23175,"REGENCY MILK JUG PINK ",8,26.00
2010-12,23245,"SET OF 3 REGENCY CAKE TINS",24,118.80
2010-12,21175,"GIN + TONIC DIET METAL SIGN",60,130.44
2010-12,21528,"DAIRY MAID TRADITIONAL TEAPOT ",6,41.70
2010-12,21790,"VINTAGE SNAP CARDS",70,63.40
2010-12,21791,"VINTAGE HEADS AND TAILS CARD GAME ",25,32.46
2010-12,21844,"RED RETROSPOT MUG",36,91.80
2010-12,21914,"BLUE HARMONICA IN BOX ",97,122.46
2010-12,21915,"RED  HARMONICA IN BOX ",109,137.46
2010-12,21917,"SET 12 KIDS  WHITE CHALK STICKS",312,113.76
2010-12,21918,"SET 12 KIDS COLOUR  CHALK STICKS",12,4.32
2010-12,22139,"RETROSPOT TEA SET CERAMIC 11 PC ",26,134.54
2010-12,22456,"NATURAL SLATE CHALKBOARD LARGE ",18,76.50
2010-12,22457,"NATURAL SLATE HEART CHALKBOARD ",58,163.26
2010-12,22488,"NATURAL SLATE RECTANGLE CHALKBOARD",52,82.76
2010-12,22690,"DOORMAT HOME SWEET HOME BLUE ",10,70.80
2010-12,22726,"ALARM CLOCK BAKELIKE GREEN",25,93.75
2010-12,22727,"ALARM CLOCK BAKELIKE RED ",20,75.00
2010-12,22728,"ALARM CLOCK BAKELIKE PINK",33,127.46
2010-12,22730,"ALARM CLOCK BAKELIKE IVORY",32,120.00
2010-12,23044,"PAPER LANTERN 9 POINT HOLLY STAR S",12,49.80
2010-12,23283,"DOORMAT VINTAGE LEAF",11,86.59
2010-12,23315,"IVORY REFECTORY CLOCK",4,39.80
2010-12,23316,"RED REFECTORY CLOCK ",4,39.80
2010-12,23317,"BLUE REFECTORY CLOCK ",4,39.80
2010-12,23426,"METAL SIGN DROP YOUR PANTS",49,122.41
2010-12,23535,"WALL ART BICYCLE SAFETY",4,23.80
2010-12,23539,"WALL ART LOVES' SECRET ",4,23.80
2010-12,23541,"WALL ART CLASSIC PUDDINGS ",8,66.00
2010-12,23544,"WALL ART MID CENTURY MODERN ",6,44.70
2010-12,48194,"DOORMAT HEARTS",14,103.80
2010-12,84970L,"SINGLE HEART ZINC T-LIGHT HOLDER",144,149.76
2010-12,84970S,"HANGING HEART ZINC T-LIGHT HOLDER",144,103.68
2010-12,85152,"HAND OVER THE CHOCOLATE   SIGN ",60,114.00
2010-12,21166,"COOK WITH WINE METAL SIGN ",60,113.76
2010-12,21169,"YOU'RE CONFUSING ME METAL SIGN ",14,23.66
2010-12,21181,"PLEASE ONE PERSON METAL SIGN",12,25.20
2010-12,21213,"PACK OF 72 SKULL CAKE CASES",24,13.20
2010-12,21428,"SET3 BOOK BOX GREEN GINGHAM FLOWER ",8,34.00
2010-12,21430,"SET/3 RED GINGHAM ROSE STORAGE BOX",12,45.00
2010-12,21509,"COWBOYS AND INDIANS BIRTHDAY CARD ",24,10.08
2010-12,21770,"OPEN CLOSED METAL SIGN",2,9.90
2010-12,21888,"BINGO SET",9,41.17
2010-12,21907,"I'M ON HOLIDAY METAL SIGN",12,25.20
2010-12,21912,"VINTAGE SNAKES & LADDERS",6,22.50
2010-12,21975,"PACK OF 60 DINOSAUR CAKE CASES",26,14.30
2010-12,22027,"TEA PARTY BIRTHDAY CARD",13,5.87
2010-12,22028,"PENNY FARTHING BIRTHDAY CARD",12,5.04
2010-12,22112,"CHOCOLATE HOT WATER BOTTLE",22,108.90
2010-12,22123,"PING MICROWAVE APRON",12,23.40
2010-12,22131,"FOOD CONTAINER SET 3 LOVE HEART ",18,35.10
2010-12,22138,"BAKING SET 9 PIECE RETROSPOT ",22,108.90
2010-12,22169,"FAMILY ALBUM WHITE PICTURE FRAME",5,66.89
2010-12,22196,"SMALL HEART MEASURING SPOONS",15,15.09
2010-12,22197,"POPCORN HOLDER",210,174.86
2010-12,22269,"EGG CUP NATURAL CHICKEN",32,12.48
2010-12,22367,"CHILDRENS APRON SPACEBOY DESIGN",9,19.73
2010-12,22384,"LUNCH BAG PINK POLKADOT",11,18.15
2010-12,22412,"METAL SIGN NEIGHBOURHOOD WITCH ",13,27.30
2010-12,22417,"PACK OF 60 SPACEBOY CAKE CASES",24,13.20
2010-12,22472,"TV DINNER TRAY DOLLY GIRL",4,25.64
2010-12,22474,"SPACEBOY TV DINNER TRAY",5,36.43
2010-12,22617,"BAKING SET SPACEBOY DESIGN",15,74.25
2010-12,22625,"RED KITCHEN SCALES",8,68.00
2010-12,22951,"60 CAKE CASES DOLLY GIRL DESIGN",48,26.40
2010-12,23133,"LARGE IVORY HEART WALL ORGANISER",2,16.50
2010-12,23183,"MOTHER'S KITCHEN SPOON REST ",7,29.96
2010-12,23209,"LUNCH BAG VINTAGE DOILY ",32,55.28
2010-12,23301,"GARDENERS KNEELING PAD KEEP CALM ",38,62.70
2010-12,23407,"SET OF 2 TRAYS HOME SWEET HOME",4,39.80
2010-12,47591D,"PINK FAIRY CAKE CHILDRENS APRON",16,31.20
2010-12,82484,"WOOD BLACK BOARD ANT WHITE FINISH",3,32.53
2010-12,84378,"SET OF 3 HEART COOKIE CUTTERS",36,52.20
2010-12,84380,"SET OF 3 BUTTERFLY COOKIE CUTTERS",12,17.40
2010-12,84991,"60 TEATIME FAIRY CAKE CASES",48,26.40
2010-12,85150,"LADIES & GENTLEMEN METAL SIGN",8,20.40
2010-12,M,Manual,18,6.48
2010-12,46000S,"POLYESTER FILLER PAD 40x40cm",15,21.75
2010-12,84029E,"RED WOOLLY HOTTIE WHITE HEART.",24,90.00
2010-12,84997B,"CHILDRENS CUTLERY RETROSPOT RED ",10,41.50
2010-12,21098,NULL,19,0.00
2010-12,21918,NULL,10,0.00
2010-12,22149,"FELTCRAFT 6 FLOWER FRIENDS",6,12.60
2010-12,22150,"3 STRIPEY MICE FELTCRAFT",31,62.63
2010-12,22596,"CHRISTMAS STAR WISH LIST CHALKBOARD",48,60.00
2010-12,22989,"SET 2 PANTRY DESIGN TEA TOWELS",7,26.13
2010-12,23130,"MISTLETOE HEART WREATH GREEN",8,33.20
2010-12,23170,"REGENCY TEA PLATE ROSES ",13,23.09
2010-12,23198,"PANTRY MAGNETIC  SHOPPING LIST",27,42.83
2010-12,23349,"ROLL WRAP VINTAGE CHRISTMAS",63,82.38
2010-12,23352,"ROLL WRAP 50'S RED CHRISTMAS ",24,30.00
2010-12,71053,"WHITE METAL LANTERN",4,15.00
2010-12,85066,"CREAM SWEETHEART MINI CHEST",2,25.50
2010-12,20682,"RED RETROSPOT CHILDRENS UMBRELLA",12,39.00
2010-12,20973,"12 PENCIL SMALL TUBE WOODLAND",24,15.60
2010-12,21507,"ELEPHANT BIRTHDAY CARD ",24,10.08
2010-12,22029,"SPACEBOY BIRTHDAY CARD",36,15.12
2010-12,22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",80,216.80
2010-12,22328,"ROUND SNACK BOXES SET OF 4 FRUITS ",20,59.00
2010-12,22555,"PLASTERS IN TIN STRONGMAN",55,92.39
2010-12,22814,"CARD PARTY GAMES ",16,6.72
2010-12,22972,"CHILDREN'S SPACEBOY MUG",12,19.80
2010-12,23114,"VINTAGE LEAF CHOPPING BOARD  ",9,44.55
2010-12,23200,"JUMBO BAG PEARS",41,87.33
2010-12,23202,"JUMBO BAG VINTAGE LEAF",47,105.96
2010-12,23208,"LUNCH BAG VINTAGE LEAF DESIGN",60,99.00
2010-12,23256,"CHILDRENS CUTLERY SPACEBOY ",36,149.40
2010-12,23290,"SPACEBOY CHILDRENS BOWL",51,67.38
2010-12,23292,"SPACEBOY CHILDRENS CUP",40,50.00
2010-12,23388,"WOODLAND MINI BACKPACK",24,99.60
2010-12,POST,POSTAGE,27,780.50
2010-12,21014,"SWISS CHALET TREE DECORATION ",79,26.69
2010-12,21481,"FAWN BLUE HOT WATER BOTTLE",8,30.00
2010-12,21817,"GLITTER CHRISTMAS TREE",36,14.04
2010-12,21819,"GLITTER CHRISTMAS STAR ",36,14.04
2010-12,21824,"PAINTED METAL STAR WITH HOLLY BELLS",27,11.85
2010-12,22065,"CHRISTMAS PUDDING TRINKET POT ",105,52.11
2010-12,22144,"CHRISTMAS CRAFT LITTLE FRIENDS",38,81.83
2010-12,22306,"SILVER MUG BONE CHINA TREE OF LIFE",36,38.16
2010-12,22419,"LIPSTICK PEN RED",12,5.04
2010-12,22421,"LIPSTICK PEN FUSCHIA",12,5.04
2010-12,22600,"CHRISTMAS RETROSPOT STAR WOOD",36,30.60
2010-12,22603,"CHRISTMAS RETROSPOT TREE WOOD",24,20.40
2010-12,22865,"HAND WARMER OWL DESIGN",25,52.50
2010-12,22866,"HAND WARMER SCOTTY DOG DESIGN",38,83.86
2010-12,23076,"ICE CREAM SUNDAE LIP GLOSS",24,30.00
2010-12,23077,"DOUGHNUT LIP GLOSS ",60,75.00
2010-12,23078,"ICE CREAM PEN LIP GLOSS ",24,30.00
2010-12,23267,"SET OF 4 SANTA PLACE SETTINGS",24,30.00
2010-12,23269,"SET OF 2 CERAMIC CHRISTMAS TREES",133,175.12
2010-12,23272,"TREE T-LIGHT HOLDER WILLIE WINKIE",12,19.80
2010-12,23376,"PACK OF 12 VINTAGE CHRISTMAS TISSUE",48,18.72
2010-12,23378,"PACK OF 12 50'S CHRISTMAS TISSUES",24,9.36
2010-12,35967,"FOLK ART METAL STAR T-LIGHT HOLDER",36,13.68
2010-12,47421,"ASSORTED COLOUR LIZARD SUCTION HOOK",27,11.34
2010-12,47422,"ASSORTED MONKEY SUCTION CUP HOOK",24,10.08
2010-12,72349B,"SET/6 PURPLE BUTTERFLY T-LIGHTS",48,81.12
2010-12,72351A,"SET/6 TURQUOISE BUTTERFLY T-LIGHTS",24,50.40
2010-12,72351B,"SET/6 PINK  BUTTERFLY T-LIGHTS",36,75.60
2010-12,85039A,"SET/4 RED MINI ROSE CANDLE IN BOWL",49,71.23
2010-12,85039B,"S/4 IVORY MINI ROSE CANDLE IN BOWL",49,71.23
2010-12,85173,"SET/6 FROG PRINCE T-LIGHT CANDLES",48,81.12
2010-12,23238,"SET OF 4 KNICK KNACK TINS LONDON ",18,74.70
2010-12,20970,"PINK FLORAL FELTCRAFT SHOULDER BAG",24,85.68
2010-12,20971,"PINK BLUE FELT CRAFT TRINKET BOX",25,28.97
2010-12,22147,"FELTCRAFT BUTTERFLY HEARTS",49,70.49
2010-12,22271,"FELTCRAFT DOLL ROSIE",26,77.58
2010-12,22273,"FELTCRAFT DOLL MOLLY",15,49.93
2010-12,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",32,115.68
2010-12,22750,"FELTCRAFT PRINCESS LOLA DOLL",28,100.68
2010-12,23126,"FELTCRAFT GIRL AMELIE KIT",28,129.00
2010-12,23127,"FELTCRAFT GIRL NICOLE KIT",28,129.00
2010-12,21249,"WOODLAND  HEIGHT CHART STICKERS ",7,23.49
2010-12,22037,"ROBOT BIRTHDAY CARD",12,5.04
2010-12,22274,"FELTCRAFT DOLL EMILY",14,41.30
2010-12,22331,"WOODLAND PARTY BAG + STICKER SET",14,29.66
2010-12,22530,"MAGIC DRAWING SLATE DOLLY GIRL ",72,30.24
2010-12,22531,"MAGIC DRAWING SLATE CIRCUS PARADE  ",24,10.08
2010-12,22534,"MAGIC DRAWING SLATE SPACEBOY ",24,10.08
2010-12,22539,"MINI JIGSAW DOLLY GIRL",24,10.08
2010-12,22544,"MINI JIGSAW SPACEBOY",24,10.08
2010-12,22636,"CHILDS BREAKFAST SET CIRCUS PARADE",2,17.00
2010-12,22705,"WRAP GREEN PEARS ",25,10.50
2010-12,22708,"WRAP DOLLY GIRL",25,10.50
2010-12,22712,"CARD DOLLY GIRL ",25,10.91
2010-12,22725,"ALARM CLOCK BAKELIKE CHOCOLATE",17,67.46
2010-12,23351,"ROLL WRAP 50'S CHRISTMAS",36,45.00
2010-12,23389,"SPACEBOY MINI BACKPACK",40,166.00
2010-12,23390,"DOLLY GIRL MINI BACKPACK",24,99.60
2010-12,23391," I LOVE LONDON MINI BACKPACK",4,16.60
2010-12,23392,"SPACEBOY ROCKET LOLLY MAKERS",12,24.96
2010-12,20728,"LUNCH BAG CARS BLUE",4,6.60
2010-12,21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",23,20.33
2010-12,21094,"SET/6 RED SPOTTY PAPER PLATES",23,19.55
2010-12,21429,"RED GINGHAM ROSE JEWELLERY BOX",3,8.03
2010-12,22333,"RETROSPOT PARTY BAG + STICKER SET",5,8.25
2010-12,22382,"LUNCH BAG SPACEBOY DESIGN ",11,18.15
2010-12,22383,"LUNCH BAG SUKI DESIGN ",23,42.91
2010-12,22434,"BALLOON PUMP WITH 10 BALLOONS",33,64.35
2010-12,22436,"12 COLOURED PARTY BALLOONS",3,1.95
2010-12,22483,"RED GINGHAM TEDDY BEAR ",4,20.32
2010-12,22536,"MAGIC DRAWING SLATE PURDEY",48,20.16
2010-12,22556,"PLASTERS IN TIN CIRCUS PARADE ",37,61.05
2010-12,22623,"BOX OF VINTAGE JIGSAW BLOCKS ",6,35.70
2010-12,22662,"LUNCH BAG DOLLY GIRL DESIGN",3,7.43
2010-12,23500,"KEY RING BASEBALL BOOT ASSORTED ",24,30.00
2010-12,84508B,"STRIPES DESIGN TEDDY",3,7.65
2010-12,84559A,"3D SHEET OF DOG STICKERS",3,3.33
2010-12,84580,"MOUSE TOY WITH PINK T-SHIRT",3,11.25
2010-12,84947,"ANTIQUE SILVER TEA GLASS ENGRAVED",6,7.50
2010-12,21889,"WOODEN BOX OF DOMINOES",124,155.00
2010-12,21983,"PACK OF 12 BLUE PAISLEY TISSUES ",24,6.96
2010-12,22614,"PACK OF 12 SPACEBOY TISSUES",24,6.96
2010-12,22615,"PACK OF 12 CIRCUS PARADE TISSUES ",48,13.92
2010-12,22693,"GROW A FLYTRAP OR SUNFLOWER IN TIN",48,60.00
2010-12,22867,"HAND WARMER BIRD DESIGN",26,58.66
2010-12,23009,"I LOVE LONDON BABY GIFT SET",1,16.95
2010-12,23065,"LARGE DECO JEWELLERY STAND",2,25.00
2010-12,23169,"CLASSIC GLASS COOKIE JAR",31,125.59
2010-12,21015,"DARK BIRD HOUSE TREE DECORATION",27,9.45
2010-12,22118,"JOY WOODEN BLOCK LETTERS",3,14.85
2010-12,22142,"CHRISTMAS CRAFT WHITE FAIRY ",25,38.09
2010-12,22152,"PLACE SETTING WHITE STAR",24,10.08
2010-12,22578,"WOODEN STAR CHRISTMAS SCANDINAVIAN",126,50.28
2010-12,22592,"CARDHOLDER HOLLY WREATH METAL",4,15.00
2010-12,22946,"WOODEN ADVENT CALENDAR CREAM",7,118.65
2010-12,22947,"WOODEN ADVENT CALENDAR RED",2,33.90
2010-12,22952,"60 CAKE CASES VINTAGE CHRISTMAS",51,28.75
2010-12,23103,"JINGLE BELL HEART DECORATION",29,47.85
2010-12,23217,"LAUREL HEART ANTIQUE SILVER",13,16.25
2010-12,23221,"REINDEER HEART DECORATION SILVER",22,26.26
2010-12,23313,"VINTAGE CHRISTMAS BUNTING",10,49.50
2010-12,23334,"IVORY WICKER HEART SMALL",92,57.96
2010-12,23353,"6 GIFT TAGS VINTAGE CHRISTMAS ",79,71.17
2010-12,23373,"VINTAGE CHRISTMAS PAPER GIFT BAG",20,16.40
2010-12,23436,"VINTAGE CHRISTMAS GIFT BAG LARGE ",12,15.00
2010-12,23470,"CARD HOLDER LOVE BIRD LARGE ",2,12.50
2010-12,23472," NINE DRAWER OFFICE TIDY",1,14.95
2010-12,23483,"HANGING  BUTTERFLY T-LIGHT HOLDER",31,53.29
2010-12,23484,"HEART TRELLIS TRIPLE T-LIGHT HOLDER",8,23.12
2010-12,35970,"ZINC FOLKART SLEIGH BELLS",25,44.69
2010-12,84946,"ANTIQUE SILVER T-LIGHT GLASS",91,108.54
2010-12,22622,"BOX OF VINTAGE ALPHABET BLOCKS",6,71.70
2010-12,23365,"SET 12 COLOUR PENCILS LOVE LONDON",34,23.30
2010-12,23366,"SET 12 COLOURING PENCILS DOILY",33,22.05
2010-12,23502,"PLAYING CARDS VINTAGE DOILY ",12,15.00
2010-12,23504,"PLAYING CARDS JUBILEE UNION JACK",40,50.00
2010-12,23505,"PLAYING CARDS I LOVE LONDON ",24,30.00
2010-12,23506,"MINI PLAYING CARDS SPACEBOY ",82,34.44
2010-12,23507,"MINI PLAYING CARDS BUFFALO BILL ",42,17.64
2010-12,23508,"MINI PLAYING CARDS DOLLY GIRL ",60,25.20
2010-12,23509,"MINI PLAYING CARDS FUN FAIR ",24,10.08
2010-12,23512,"EMBROIDERED RIBBON REEL ROSIE",7,16.61
2010-12,23517,"EMBROIDERED RIBBON REEL REBECCA ",7,23.13
2010-12,16161P,"WRAP ENGLISH ROSE ",75,31.50
2010-12,21191,"LARGE WHITE HONEYCOMB PAPER BELL  ",6,12.60
2010-12,21262,"WHITE GOOSE FEATHER CHRISTMAS TREE ",6,17.70
2010-12,22498,"WOODEN REGATTA BUNTING",4,30.31
2010-12,22619,"SET OF 6 SOLDIER SKITTLES",7,29.96
2010-12,23079,"TOADSTOOL BEDSIDE LIGHT ",6,53.70
2010-12,23233,"WRAP POPPIES  DESIGN",50,21.00
2010-12,23360,"SET 8 CANDLES VINTAGE DOILY",12,23.40
2010-12,84836,"ZINC METAL HEART DECORATION",49,61.25
2010-12,84945,"MULTI COLOUR SILVER T-LIGHT HOLDER",24,20.40
2010-12,23251,"VINTAGE RED ENAMEL TRIM MUG ",12,15.00
2010-12,22386,"JUMBO BAG PINK POLKADOT",21,51.88
2010-12,22908,"PACK OF 20 NAPKINS RED APPLES",14,12.68
2010-12,22910,"PAPER CHAIN KIT VINTAGE CHRISTMAS",74,205.14
2010-12,22962,"JAM JAR WITH PINK LID",18,15.30
2010-12,22973,"CHILDREN'S CIRCUS PARADE MUG",1,1.65
2010-12,22979,"PANTRY WASHING UP BRUSH",1,1.45
2010-12,23048,"SET OF 10 LANTERNS FAIRY LIGHT STAR",4,16.60
2010-12,23113,"PANTRY CHOPPING BOARD",1,4.95
2010-12,23312,"VINTAGE CHRISTMAS GIFT SACK",23,95.45
2010-12,23324,"RUSTIC STRAWBERRY JAM POT LARGE ",2,4.16
2010-12,23546,"WRAP PAISLEY PARK ",25,10.50
2010-12,23550,"WRAP ALPHABET POSTER  ",75,31.50
2010-12,85099F,"JUMBO BAG STRAWBERRY",13,29.09
2010-12,85184C,"SET 4 VALENTINE DECOUPAGE HEART BOX",9,26.55
2010-12,21558,"SKULL LUNCH BOX WITH CUTLERY ",13,35.56
2010-12,22327,"ROUND SNACK BOXES SET OF 4 SKULLS",6,17.70
2010-12,22352,"LUNCH BOX WITH CUTLERY RETROSPOT ",6,15.30
2010-12,22467,"GUMBALL COAT RACK",44,112.20
2010-12,23075,"PARLOUR CERAMIC WALL HOOK",4,16.60
2010-12,23115,"RED APPLES CHOPPING BOARD   ",4,25.64
2010-12,23146,"TRIPLE HOOK ANTIQUE IVORY ROSE",8,26.32
2010-12,23148,"MINIATURE ANTIQUE ROSE HOOK IVORY",14,11.62
2010-12,23204,"CHARLOTTE BAG APPLES DESIGN",22,19.48
2010-12,23513,"EMBROIDERED RIBBON REEL SUSIE ",13,29.09
2010-12,23514,"EMBROIDERED RIBBON REEL SALLY ",7,16.61
2010-12,84711B,"PINK OVAL SHAPE TRINKET BOX",1,9.95
2010-12,90013B,"BLACK VINTAGE EARRINGS",2,7.50
2010-12,90022,"EDWARDIAN DROP EARRINGS JET BLACK",1,3.75
2010-12,90064B,"BLACK VINTAGE  CRYSTAL EARRINGS",1,3.75
2010-12,90065B,"BLACK VINT ART DEC CRYSTAL BRACELET",1,6.75
2010-12,90067A,"PINK VINTAGE VICTORIAN EARRINGS",1,2.95
2010-12,90073,"VINTAGE ENAMEL & CRYSTAL EARRINGS",1,4.95
2010-12,90141E,"ORANGE PENDANT TRIPLE SHELL NECKLAC",2,9.90
2010-12,90160D,"PINK BOUDICCA LARGE BRACELET",1,6.95
2010-12,90173,"PAIR BUTTERFLY HAIR CLIPS",1,3.75
2010-12,90208,"PAIR OF PINK FLOWER CLUSTER SLIDE",2,5.10
2010-12,84997A,"CHILDRENS CUTLERY POLKADOT GREEN ",24,99.60
2010-12,84997C,"CHILDRENS CUTLERY POLKADOT BLUE",48,199.20
2010-12,21559,"STRAWBERRY LUNCH BOX WITH CUTLERY",14,38.11
2010-12,22629,"SPACEBOY LUNCH BOX ",25,48.75
2010-12,22630,"DOLLY GIRL LUNCH BOX",12,23.40
2010-12,22665,"RECIPE BOX BLUE SKETCHBOOK DESIGN",6,17.70
2010-12,23234,"BISCUIT TIN VINTAGE CHRISTMAS",18,52.02
2010-12,23241,"TREASURE TIN GYMKHANA DESIGN",26,56.13
2010-12,23254,"CHILDRENS CUTLERY DOLLY GIRL ",32,132.80
2010-12,23289,"DOLLY GIRL CHILDRENS BOWL",25,32.46
2010-12,23291,"DOLLY GIRL CHILDRENS CUP",25,32.46
2010-12,23343,"JUMBO BAG VINTAGE CHRISTMAS ",15,31.20
2010-12,23355,"HOT WATER BOTTLE KEEP CALM",13,64.35
2010-12,23398,"HANGING HEART BONHEUR",12,10.20
2010-12,23399,"HOME SWEET HOME HANGING HEART",14,11.90
2010-12,23523,"WALL ART TREASURE AHOY ",12,45.00
2010-12,23524,"WALL ART HORSE & PONY ",8,33.71
2010-12,23527,"WALL ART ANIMALS AND NATURE ",13,48.75
2010-12,47590A,"BLUE HAPPY BIRTHDAY BUNTING",9,49.05
2010-12,47590B,"PINK HAPPY BIRTHDAY BUNTING",11,70.63
2010-12,21035,"SET/2 RED RETROSPOT TEA TOWELS ",12,39.00
2010-12,21154,"RED RETROSPOT OVEN GLOVE ",11,14.96
2010-12,22624,"IVORY KITCHEN SCALES",18,161.13
2010-12,20726,"LUNCH BAG WOODLAND",10,16.50
2010-12,22568,"FELTCRAFT CUSHION OWL",12,45.00
2010-12,22621,"TRADITIONAL KNITTING NANCY",13,23.09
2010-12,23263,"SET OF 3 WOODEN HEART DECORATIONS",29,36.25
2010-12,20668,"DISCO BALL CHRISTMAS DECORATION",96,11.52
2010-12,20969,"RED FLORAL FELTCRAFT SHOULDER BAG",1,3.75
2010-12,21172,"PARTY METAL SIGN ",15,21.75
2010-12,21465,"PINK FLOWER CROCHET FOOD COVER",2,7.50
2010-12,21588,"RETROSPOT GIANT TUBE MATCHES",4,10.20
2010-12,21804,"WHITE CHRISTMAS GARLAND STARS TREES",5,16.91
2010-12,22141,"CHRISTMAS CRAFT TREE TOP ANGEL",21,48.16
2010-12,22199,"FRYING PAN RED RETROSPOT",1,4.25
2010-12,22203,"MILK PAN RED RETROSPOT",1,3.75
2010-12,22670,"FRENCH WC SIGN BLUE METAL",5,7.46
2010-12,22672,"FRENCH BATHROOM SIGN BLUE METAL",1,1.65
2010-12,22809,"SET OF 6 T-LIGHTS SANTA",7,20.65
2010-12,22940,"FELTCRAFT CHRISTMAS FAIRY",43,176.75
